,Unnamed: 0,book_name,author,rating_value,rating_num,price_buy_new,price_rent,category,details,rank,tag,tag_in,part_in,asin,asin_url
382,359,CompTIA Security+ Practice Tests: Exam SY0-601,David Seidl,4.4 out of 5,119 ratings,$22.99,Na,Certification,"Publisher : Sybex; 2nd edition (January 15, 2021)
Language : English
Paperback : 336 pages
ISBN-10 : 1119735467
ISBN-13 : 978-1119735465
Item Weight : 1.39 pounds
Dimensions : 7.3 x 0.7 x 9.2 inches",Na,Na,Na,Na,1119735467,https://www.amazon.com/dp/1119735467/
383,360,Database Internals: A Deep Dive into How Distributed Data Systems Work,Alex Petrov,4.7 out of 5,380 ratings,$33.49,Na,Business Technology,"Publisher : O'Reilly Media; 1st edition (November 5, 2019)
Language : English
Paperback : 370 pages
ISBN-10 : 1492040347
ISBN-13 : 978-1492040347
Item Weight : 1.3 pounds
Dimensions : 7 x 0.75 x 9 inches",Na,Na,Na,Na,1492040347,https://www.amazon.com/dp/1492040347/
384,361,Test Driven Development: By Example,Kent Beck,4.4 out of 5,481 ratings,$44.99,Na,Programming,"ASIN : 0321146530
Publisher : Addison-Wesley Professional; 1st edition (November 8, 2002)
Language : English
Paperback : 240 pages
ISBN-10 : 9780321146533
ISBN-13 : 978-0321146533
Item Weight : 14.1 ounces
Dimensions : 7.38 x 0.55 x 9.25 inches",,Na,Na,Na,0321146530,https://www.amazon.com/dp/0321146530/
385,362,"The Little SAS® Book: A Primer, Sixth Edition",Lora D. Delwiche,4.6 out of 5,308 ratings,$49.99,Na,Mathematics,"Publisher : SAS Institute; 6th edition (October 11, 2019)
Language : English
Paperback : 364 pages
ISBN-10 : 1642952834
ISBN-13 : 978-1642952834
Item Weight : 1.38 pounds
Dimensions : 7.5 x 0.82 x 9.25 inches",Na,Na,Na,Na,1642952834,https://www.amazon.com/dp/1642952834/
386,363,iPhone For Seniors For Dummies,Dwight Spivey,4.7 out of 5,7 ratings,$29.99,Na,Engineering,"Publisher : For Dummies; 12th edition (November 23, 2022)
Language : English
Paperback : 464 pages
ISBN-10 : 1119912849
ISBN-13 : 978-1119912842
Item Weight : 2 pounds
Dimensions : 7.4 x 1 x 9.2 inches",Na,Na,Na,Na,1119912849,https://www.amazon.com/dp/1119912849/
387,364,Effective TypeScript: 62 Specific Ways to Improve Your TypeScript,Dan Vanderkam,4.6 out of 5,249 ratings,$25.99,Na,Programming,"Publisher : O'Reilly Media; 1st edition (November 12, 2019)
Language : English
Paperback : 264 pages
ISBN-10 : 1492053740
ISBN-13 : 978-1492053743
Item Weight : 15 ounces
Dimensions : 7 x 0.55 x 9.19 inches",Na,Na,Na,Na,1492053740,https://www.amazon.com/dp/1492053740/
388,365,Systems Engineering Principles and Practice (Wiley Series in Systems Engineering and Management),,4.6 out of 5,52 ratings,$102.38,$14.48,Management & Leadership,"Publisher : Wiley; 3rd edition (July 8, 2020)
Language : English
Hardcover : 688 pages
ISBN-10 : 1119516668
ISBN-13 : 978-1119516668
Item Weight : 2.63 pounds
Dimensions : 6.3 x 1.3 x 9.1 inches",,Na,Na,Na,1119516668,https://www.amazon.com/dp/1119516668/
389,366,Project Zero Trust: A Story About a Strategy for Aligning Security and the Business,George Finney,4.8 out of 5,42 ratings,$0.00,Na,Networking & Cloud Computing,Na,,Na,Na,Na,B0BG6D1J26,https://www.amazon.com/dp/B0BG6D1J26/
390,367,Excel VBA Programming For Dummies (For Dummies (Computer/Tech)),Dick Kusleika,4.5 out of 5,56 ratings,$30.99,Na,Software,"Publisher : For Dummies; 6th edition (January 14, 2022)
Language : English
Paperback : 432 pages
ISBN-10 : 1119843073
ISBN-13 : 978-1119843078
Item Weight : 1.25 pounds
Dimensions : 7.38 x 0.98 x 9.25 inches",Na,Na,Na,Na,1119843073,https://www.amazon.com/dp/1119843073/
391,368,Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),Zed Shaw,4.4 out of 5,953 ratings,$31.99,Na,Programming Languages,"Publisher : Addison-Wesley Professional; 1st edition (June 27, 2017)
Language : English
Paperback : 320 pages
ISBN-10 : 0134692888
ISBN-13 : 978-0134692883
Item Weight : 1.15 pounds
Dimensions : 7 x 0.73 x 9.13 inches",Na,Na,Na,Part of: Zed Shaw's Hard Way (5 books),0134692888,https://www.amazon.com/dp/0134692888/
