,link,brief,id,price,price_per_unit,address,facilities_key,facilities_value
36,https://propzy.vn/mua/dat-nen/hcm/quan-1/id137215,"Đất Đẹp HAI MẶT TIỀN tại Đa Kao, Quận 1, gần tuyến ga Metro CV Lê Văn Tám, sổ hồng chính chủ!",id137215,97 tỷ,"406,89 triệu/m²","Đ.Nguyễn Thành Ý, P.Đa Kao, Q.1, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['238.39m²', 'Đ.Nam']"
37,https://propzy.vn/mua/biet-thu/hcm/quan-2/id98483,"Bán nhà 1 trệt 1 lầu và đất xung quanh 557m2, nhà 2 mặt hẻm, hẻm xe hơi, có sân rộng rãi, phường Bình An, TP Thủ Đức.",id98483,"91,8 tỷ","164,72 triệu/m²","Đ.Số 3, P.Bình An, Q.2, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['4', '2', '557.3m²', 'Đ.Nam']"
38,https://propzy.vn/mua/nha/hcm/quan-2/id418874,Bán mặt bằng kinh doanh ngay góc đường Vũ Tông Phan và đường số 24 - Khu đô thị An Phú - An Khánh Quận 2 - Thành Phố Thủ Đức,id418874,"91,2 tỷ",320 triệu/m²,"Đ.Vũ Tông Phan, P.An Phú, Q.2, Hồ Chí Minh","['ic ic-bath', 'ic ic-acreage']","['1', '285m²']"
39,https://propzy.vn/mua/nha/hcm/quan-thu-duc/id209203,"Bán nhà ngay Chợ Thủ Đức. Mặt tiền kinh doanh tốt, khu dân cư sầm uất",id209203,90 tỷ,"109,27 triệu/m²","Đ.Kha Vạn Cân, P.Linh Đông, Q.Thủ Đức,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['4', '3', '823.6m²', 'T.Bắc']"
40,https://propzy.vn/mua/nha/hcm/quan-9/id413581,"Bán 2 căn nhà mặt tiền liền kề Phường Phước Long B, Thành Phố Thủ Đức.",id413581,90 tỷ,"130,52 triệu/m²","Đ.Liên phường, P.Phước Long B, Q.9, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['8', '10', '689.5m²', 'Nam']"
41,https://propzy.vn/mua/dat-nen/hcm/quan-thu-duc/id63450,"Bán đất mặt tiền đường Hoàng Diệu 2, phường Linh Trung, Quận Thủ Đức. Thổ cư 100%. Hướng Tây Nam",id63450,90 tỷ,"74,22 triệu/m²","Đ.Hoàng Diệu 2, P.Linh Trung, Q.Thủ Đức,","['ic ic-acreage', 'ic ic-compass']","['1212.5m²', 'T.Nam']"
42,https://propzy.vn/mua/nha/hcm/quan-2/id154631,"Bán nhà ngay mặt tiền đường chính của phường Thạnh Mỹ Lợi, quận 2. Tiện kinh doanh, buôn bán.",id154631,85 tỷ,"141,38 triệu/m²","Đ.Nguyễn Thị Định, P.Thạnh Mỹ Lợi, Q.2,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '601.2m²', 'Đ.Bắc']"
43,https://propzy.vn/mua/nha/hcm/quan-binh-thanh/id301557,Bán nhà Mặt Tiền Nguyễn Xí Phường 26 Bình Thạnh,id301557,85 tỷ,"278,68 triệu/m²","Đ.Nguyễn Xí, P.26, Q.Bình Thạnh, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['30', '30', '305m²', 'Đ.Bắc']"
44,https://propzy.vn/mua/nha-xuong-nha-kho/hcm/quan-12/id411277,"Bán nhà Xưởng 1700,8m2 Phường An Phú Đông, Quận 12",id411277,85 tỷ,"50,43 triệu/m²","Đ.Võ Thị Thừa, P.An Phú Đông, Q.12, Hồ Chí Minh","['ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1685.5m²', 'T.Nam']"
45,https://propzy.vn/mua/dat-nen/hcm/quan-binh-tan/id383341,"Bán Đất Nền DT 1117.70m2 Nở Hậu + Bụng, Mặt Tiền Đường Kinh Doanh Quận Bình Tân.",id383341,85 tỷ,"76,04 triệu/m²","Đ.An Dương Vương, P.An Lạc, Q.Bình Tân,","['ic ic-acreage', 'ic ic-compass']","['1117.7m²', 'Đông']"
46,https://propzy.vn/mua/dat-nen/hcm/quan-thu-duc/id245702,"Bán gấp lô đất diện tích lớn, có 2 căn nhà cấp 4, sát chung cư Tecco Tower, phường Linh Đông, Quận Thủ Đức",id245702,"83,84 tỷ","39,99 triệu/m²","Đ.Số 24, P.Linh Đông, Q.Thủ Đức, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['3', '2', '2096.2m²', 'Tây']"
47,https://propzy.vn/mua/dat-nen/hcm/quan-2/id263320,"Bán đất nền 1.100m2, phường Bình Khánh, Quận 2.",id263320,83 tỷ,"75,45 triệu/m²","Đ.Lương Định Của, P.Bình Khánh, Q.2, Hồ Chí Minh","['ic ic-acreage', 'ic ic-compass']","['1100m²', 'Đ.Nam']"
48,https://propzy.vn/mua/nha/hcm/quan-7/id388177,"Bán Nhà Mặt Tiền Đường Phường Phú Mỹ Quận 7 - Nhà Đang Cho Thuê, Có Thu Nhập Ổn Định Hàng Tháng",id388177,80 tỷ,"240,24 triệu/m²","Đ.Phạm Hữu Lầu, P.Phú Mỹ, Q.7, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['58', '58', '333m²', 'T.Bắc']"
49,https://propzy.vn/mua/nha/hcm/quan-binh-thanh/id413177,Nhà nở hậu mặt tiền đường lớn đang cho thuê giá cao trung tâm quận Bình Thạnh,id413177,80 tỷ,"326,93 triệu/m²","Đ.Điện Biên Phủ, P.15, Q.Bình Thạnh, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '244.7m²', 'Đ.Nam']"
