,link,brief,id,price,price_per_unit,address,facilities_key,facilities_value
507,https://propzy.vn/mua/can-ho/hcm/quan-8/id409906,Bán căn hộ 2 phòng ngủ chung cư Topaz City phường 4 Quận 8 ,id409906,"2,05 tỷ","39,76 triệu/m²","Đ.Cao Lỗ, P.4, Q.8, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '1', '51.55m²', 'Đ.Nam']"
508,https://propzy.vn/mua/nha/hcm/huyen-nha-be/id288729,"Bán Nhà Hẻm Xe Hơi Xã Nhơn Đức Huyện Nhà Bè- Khu dân cư an ninh, yên tĩnh",id288729,"2,05 tỷ","52,56 triệu/m²","Đ.Lê Văn Lương, X.Nhơn Đức, H.Nhà Bè,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '39m²', 'T.Nam']"
509,https://propzy.vn/mua/nha/hcm/quan-12/id370456,Bán nhà riêng hẻm Quận 12 - Gần Cầu Dừa,id370456,"2,05 tỷ","113,25 triệu/m²","Đ.Lê Văn Khương, P.Hiệp Thành, Q.12, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '18.1m²', 'Tây']"
510,https://propzy.vn/mua/nha/hcm/quan-go-vap/id128371,"Bán nhà Quận Gò Vấp - hẻm xe ba gác, khu dân cư an ninh.",id128371,"2,05 tỷ","110,81 triệu/m²","Đ.Quang Trung, P.10, Q.Gò Vấp, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '18.5m²', 'Tây']"
511,https://propzy.vn/mua/nha/hcm/quan-8/id355770,Bán căn góc 2 mặt hẻm ba gác Phường 4 Quận 8 - Sổ hồng riêng chính chủ,id355770,"2,05 tỷ","74,27 triệu/m²","Đ.Phạm Thế Hiển, P.4, Q.8, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '27.6m²', 'T.Nam']"
512,https://propzy.vn/mua/nha/hcm/quan-6/id334503,Nhà bán lầu 1+ 2 hẻm xe tải Phan Văn Khỏe P5 Q6 - 4x13.35m - gần Chợ Lớn,id334503,"2,05 tỷ",42 triệu/m²,"Đ.Phan Văn Khỏe, P.5, Q.6, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['4', '2', '48.8m²', 'Đông']"
513,https://propzy.vn/mua/nha/hcm/quan-go-vap/id128371,"Bán nhà Quận Gò Vấp - hẻm xe ba gác, khu dân cư an ninh.",id128371,"2,05 tỷ","110,81 triệu/m²","Đ.Quang Trung, P.10, Q.Gò Vấp, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '18.5m²', 'Tây']"
514,https://propzy.vn/mua/can-ho/hcm/quan-9/id276700,Bán căn hộ Chung cư Sài Gòn Gateway- View hướng Tây Nam,id276700,"2,05 tỷ","38,47 triệu/m²","Đ.Xa Lộ Hà Nội, P.Hiệp Phú, Q.9, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '1', '53.28m²', 'T.Nam']"
515,https://propzy.vn/mua/can-ho/hcm/quan-2/id251994,"Bán căn Officetel chung cư The Sun Avenue, phường An Phú, Quận 2",id251994,"2,05 tỷ","65,53 triệu/m²","Đ.Mai Chí Thọ, P.An Phú, Q.2, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '31.28m²', 'T.Nam']"
516,https://propzy.vn/mua/can-ho/hcm/quan-9/id383883,Bán căn hộ 1 phòng ngủ chung cư Vinhomes Grand Park - Quận 9.,id383883,"2,05 tỷ","47,34 triệu/m²","Đ.Nguyễn Xiển, P.Long Thạnh Mỹ, Q.9, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '43.3m²', 'T.Bắc']"
517,https://propzy.vn/mua/can-ho/hcm/quan-6/id274185,"Bán Căn Hộ Shophouse Chung Cư Viva Riverside Quận 6 - Tầng 3, 29m2, 1PN 1WC",id274185,"2,05 tỷ","71,57 triệu/m²","Đ.Võ Văn Kiệt, P.3, Q.6, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage']","['1', '1', '28.64m²']"
518,https://propzy.vn/mua/can-ho/hcm/quan-2/id316167,"Bán căn officetel chung cư The Sun Avenue, phường An Phú, Quận 2",id316167,"2,05 tỷ","57,42 triệu/m²","Đ.Mai Chí Thọ, P.An Phú, Q.2, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '35.7m²', 'T.Nam']"
519,https://propzy.vn/mua/can-ho/hcm/quan-8/id410421,Bán căn hộ chung cư City Gate Quận 8 - Tầng 27 - Căn góc view hồ bơi,id410421,"2,06 tỷ","28,28 triệu/m²","Đ.Võ Văn Kiệt, P.16, Q.8, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '73m²', 'Đ.Bắc']"
520,https://propzy.vn/mua/can-ho/hcm/quan-thu-duc/id403006,"Bán căn hộ chung cư Sunview Town Gò Dưa, Hiệp Bình Phước, Thủ Đức.",id403006,"2,07 tỷ","31,26 triệu/m²","Đ.Gò Dưa, P.Hiệp Bình Phước, Q.Thủ Đức,","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['2', '2', '66.2m²', 'Nam']"
521,https://propzy.vn/mua/can-ho/hcm/huyen-binh-chanh/id385008,Bán căn hộ cao cấp 2PN tại chung cư Lovera Vista - Bình Chánh.,id385008,"2,08 tỷ",34 triệu/m²,"Đ.số 19, X.Phong Phú, H.Bình Chánh, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage']","['2', '2', '61.17m²']"
522,https://propzy.vn/mua/nha/hcm/quan-8/id360392,Bán nhà riêng phường 7 Quận 8 - Hướng Tây Bắc,id360392,"2,1 tỷ","90,9 triệu/m²","Đ.Phạm Thế Hiển, P.7, Q.8, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '2', '23.1m²', 'T.Bắc']"
523,https://propzy.vn/mua/nha/hcm/quan-phu-nhuan/id420064,"Bán nhà nhỏ xinh, mới tinh, ngay trung tâm Phú Nhuận - Gần Bệnh Viện An Sinh",id420064,"2,1 tỷ","137,25 triệu/m²","Đ.Huỳnh Văn Bánh, P.11, Q.Phú Nhuận, Hồ Chí Minh","['ic ic-bed', 'ic ic-bath', 'ic ic-acreage', 'ic ic-compass']","['1', '1', '15.3m²', 'Đông']"
